Price surface,Time to maturity,Strikes,European call price
,155,157.5,160,162.5,165,167.5,170,172.5,175,177.5,180,182.5,185,187.5,190,192.5
0.0192308,24.75,22.9,21.1,19.35,17.65,16,14.4,12.85,11.35,9.9,8.5,7.15,5.85,4.6,3.4,2.5
0.0384615,25.4,23.65,21.9,20.15,18.5,16.9,15.35,13.85,12.4,11,9.65,8.35,7.1,5.9,4.75,3.7
0.0576923,26.2,24.35,22.6,20.9,19.25,17.65,16.1,14.6,13.15,11.75,10.4,9.1,7.85,6.65,5.5,4.4
0.0769231,26.9,25.05,23.3,21.6,19.95,18.35,16.8,15.3,13.85,12.45,11.1,9.8,8.55,7.35,6.2,5.1
0.0961538,27.65,25.8,24.05,22.35,20.7,19.1,17.55,16.05,14.6,13.2,11.85,10.55,9.3,8.1,6.95,5.85
0.115385,28.4,26.55,24.8,23.1,21.45,19.85,18.3,16.8,15.35,13.95,12.6,11.3,10.05,8.85,7.7,6.6
0.134615,29.15,27.3,25.55,23.85,22.2,20.6,19.05,17.55,16.1,14.7,13.35,12.05,10.8,9.6,8.45,7.35
0.153846,29.85,28,26.25,24.55,22.9,21.3,19.75,18.25,16.8,15.4,14.05,12.75,11.5,10.3,9.15,8.05
0.173077,30.5,28.65,26.9,25.2,23.55,21.95,20.4,18.9,17.45,16.05,14.7,13.4,12.15,10.95,9.8,8.7
0.192308,31.1,29.25,27.5,25.8,24.15,22.55,21,19.5,18.05,16.65,15.3,14,12.75,11.55,10.4,9.3
